Year,Total,White alone,White,"White alone, not Hispanic","White, not Hispanic",Black A.O.I.C.,Black alone,Black (3),Asian A.O.I.C.,Asian alone,Hispanic (of any race)
1962, 0.362 , (NA) , 0.350 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1961, 0.374 , (NA) , 0.363 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1960, 0.364 , (NA) , 0.353 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1959, 0.361 , (NA) , 0.348 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1958, 0.354 , (NA) , 0.341 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1957, 0.351 , (NA) , 0.340 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1956, 0.358 , (NA) , 0.346 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1955, 0.363 , (NA) , 0.353 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1954, 0.371 , (NA) , 0.360 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1953, 0.359 , (NA) , 0.350 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1952, 0.368 , (NA) , 0.357 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1951, 0.363 , (NA) , 0.351 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1950, 0.379 , (NA) , 0.369 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1949, 0.378 , (NA) , 0.367 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1948, 0.371 , (NA) , 0.360 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
1947, 0.376 , (NA) , 0.366 , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) , (NA) 
